TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
UNE ÉPOPÉE;Fiction;France;1 130 610,00;FR/EN;;
VENT MAUVAIS;Fiction;France;3 998 887,00;FR/EN;;
BY THE WAYS A JOURNEY WITH WILLIAM EGGLESTON;Documentaire;France;481 396,00;FR/EN;;
CLÉMENCE;Fiction;France;370 960,00;FR/EN;;
DISCO;Fiction;France;18 730 914,00;FR/EN;;
FOOL MOON;Fiction;France;1 647 505,00;FR/EN;;
ON VERRA DEMAIN;Fiction;Espagne/France;1 299 580,00;FR/EN;;
PAR SUITE D'UN ARRÊT DE TRAVAIL DU PERSONNEL;Fiction;France;7 542 342,00;FR/EN;;
STORY OF JEN;Fiction;France/Canada;1 942 722,00;FR/EN;;
BEL AGE (LE);Fiction;France;3 296 020,00;FR/EN;;
CHÉRI;Fiction;Grande Bretagne/France/Allemagne;23 794 756,00;FR/EN;;
ELÈVE LIBRE;Fiction;Belgique/France;2 100 000,00;FR/EN;;
FILLE DU RER (LA);Fiction;France;6 955 160,00;FR/EN;;
RIO SEX COMEDY;Fiction;France/Bresil;3 193 464,00;FR/EN;;
SIMON KONIANSKI;Fiction;Belgique/France/Canada;3 094 786,00;FR/EN;;
YUKI ET NINA;Fiction;France;1 967 880,00;FR/EN;;
LULLABY;Fiction;Canada/France;4 904 458,00;FR/EN;;
MAMMUTH;Fiction;France;2 499 161,00;FR/EN;;
NOM DES GENS (LE);Fiction;France;3 279 987,00;FR/EN;;
SECRETS (LES);Fiction;France/Tunisie/Suisse;1 354 603,00;FR/EN;;
STRETCH;Fiction;France;5 705 000,00;FR/EN;;
A mon âge je me cache encore pour fumer;Fiction;France/Grèce/Algérie;911331;FR/EN;;
Camping 3;Fiction;France;15422429;FR/EN;;
Compte tes blessures;Fiction;France;1913297;FR/EN;;
Dogs;Fiction;France/Roumanie/Bulgarie;853974;FR/EN;;
M;Fiction;France;5419182;FR/EN;;
Marguerite & Julien;Fiction;France;6828616;FR/EN;;
Naufragés (Les);Fiction;France;13974154;FR/EN;;
