TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
Dans les forêts de Sibérie;Fiction;France;3570203;FR/EN;;
East Punk Memories;Docu;France;45305;FR/EN;;
Eternité;Fiction;France/Belgique;11223362;FR/EN;;
Loup-garou;Fiction;France;113006;FR/EN;;
M et le 3ème secret;Docu;France;705638;FR/EN;;
Per amor vostro;Fiction;Italie/France;850000;FR/EN;;
Sur quel pied danser;Fiction;France;2320406;FR/EN;;
The bouncer;Fiction;Israël/France;868946;FR/EN;;
Un petit boulot;Fiction;France/Belgique;7999131;FR/EN;;
Vie des gens (La);Docu;France;93336;FR/EN;;
Where is Rocky II ?;Docu;France/Allemagne/Belgique/Italie;862170;FR/EN;;
Compétition;Fiction;Allemagne/Géorgie/France;1,44;FR/EN;;
Des étoiles;Fiction;France/Belgique;1,48;FR/EN;;
Don't cry fly;Fiction;Espagne/France;5,51;FR/EN;;
Etats de femmes;Fiction;France;4,42;FR/EN;;
Grand Homme qui ne voulait pas mourir (Le);Fiction;France;1,86;FR/EN;;
Mais qu'est-ce qu'on a fait au bon Dieu ?;Fiction;France;12,79;FR/EN;;
Malavita;Fiction;France;28,37;FR/EN;;
Sommeil d'hiver;Fiction;Turquie/France/Allemagne;3;FR/EN;;
Tristesse club;Fiction;France;2,06;FR/EN;;
Desierto;Fiction;Mexique/France;3,17;FR/EN;;
Edmond, un portrait de baudoin;Docu;France;0,26;FR/EN;;
Histoire de la peur;Fiction;Argentine/France;0,5;FR/EN;;
Je ne suis pas un salaud;Fiction;France;2,21;FR/EN;;
Love;Fiction;France;2,55;FR/EN;;
Nobody wants the night;Fiction;Espagne/France/Bulgarie;5,33;FR/EN;;
Rencontres;Docu;France;0,09;FR/EN;;
Resistance de l'air (La);Fiction;France/Belgique;5,54;FR/EN;;
Silence et la douleur (Le);Docu;France;0,26;FR/EN;;
Une vie de château;Docu;France;0,68;FR/EN;;
9TH WONDERLAND;Fiction;France;786 962,00;FR/EN;;
DE BON MATIN;Fiction;France/Belgique;4 047 480,00;FR/EN;;
DESINTEGRATION (LA);Fiction;France;2 155 758,00;FR/EN;;
LARGO WINCH 2;Fiction;France/Belgique/Allemagne;25 006 158,00;FR/EN;;
LIBRE ECHANGE;Fiction;France/Luxembourg/Belgique;6 201 168,00;FR/EN;;
TERRITOIRES;Fiction;Canada/France;3 464 659,00;FR/EN;;
THIS MUST BE THE PLACE;Fiction;Italie/France/Irlande;22 400 584,00;FR/EN;;
ZARAFA;Animation;France;8 521 183,00;FR/EN;;
A PIGEON ON A BRANCH REFLECTING ON EXISTENCE;Fiction;Suede/Norvege/Allemagne/France;4 466 881,00;FR/EN;;
COURS SANS TE RETOURNER;Fiction;Allemagne/France;5 872 769,00;FR/EN;;
DERNIER DES HOMMES (LE);Fiction;Allemagne/Suisse/France;2 105 093,00;FR/EN;;
EL PUESTO;Documentaire;France;191 600,00;FR/EN;;
HISTORIA DE LA MEVA MORT;Fiction;Espagne/France;2 077 296,00;FR/EN;;
MAIS QUI A RE-TUE PAMELA ROSE ?;Fiction;France;12 321 077,00;FR/EN;;
UN JOUR DE CHANCE;Fiction;Espagne/France;5 112 000,00;FR/EN;;
VI PERDONO;Fiction;Italie/France;1 720 197,00;FR/EN;;
Alad'2;Fiction;France;19 829 115,00;FR/EN;;
Châtelains (Les);Fiction;Belgique/France/Suisse;2 079 688,00;FR/EN;;
Convoi exceptionnel;Fiction;France/Belgique;4 995 717,00;FR/EN;;
Déguns (Les);Fiction;France;3 250 237,00;FR/EN;;
Heureux comme Lazzaro;Fiction;Italie/Suisse/Allemagne/France;5 339 990,00;FR/EN;;
Nous le peuple;Docu;France;315 821,00;FR/EN;;
Particules (Les);Fiction;France/Suisse;2 360 606,00;FR/EN;;
Rebelles;Fiction;France;4 492 708,00;FR/EN;;
Rivonia;Docu;France;845 254,00;FR/EN;;
Sillages;Docu;France;311 551,00;FR/EN;;
Sundays;Docu;Grèce/France;200 559,00;FR/EN;;
Une jeunesse dorée;Fiction;France;2 626 090,00;FR/EN;;
Christ(off);Fiction;France;7 177 846,00;FR/EN;;
Finale (La);Fiction;France;4 446 028,00;FR/EN;;
Gaston Lagaffe;Fiction;France;18 771 585,00;FR/EN;;
Homme qui penche (L');Docu;France;444 575,00;FR/EN;;
Loveless;Fiction;Russie/France/Allemagne/Belgique;2 992 351,00;FR/EN;;
Petits maitres du grand hôtel (Les);Docu;France;488 025,00;FR/EN;;
Rémi sans famille;Fiction;France;17 456 896,00;FR/EN;;
Stasis;Fiction;Lituanie/Ukraine/France;1 148 520,00;FR/EN;;
Vierges;Fiction;France/Israël/Belgique;886 369,00;FR/EN;;
A perdre haleine;Fiction;France;213 574,00;FR/EN;;
Blessure la vraie (La);Fiction;France/Italie;8 552 835,00;FR/EN;;
Cancre (Le);Fiction;France;155 000,00;FR/EN;;
Comme ils respirent;Docu;France;69 528,00;FR/EN;;
Garçon manqué;Fiction;France;3 824 573,00;FR/EN;;
Stars 80… la suite;Fiction;France;20 051 988,00;FR/EN;;
The lake;Fiction;France/Allemagne;66 194 447,00;FR/EN;;
Valerian et la cité des mille planètes;Fiction;France;197 471 676,00;FR/EN;;
Vénérable W (Le);Docu;France/Suisse;1 310 277,00;FR/EN;;
Au-dessus des lois;Fiction;Belgique/France;5 309 755,00;FR/EN;;
Bitter flowers;Fiction;Belgique/France/Suisse;2 182 852,00;FR/EN;;
Happy Birthday;Fiction;Grèce/France/Chypre/Allemagne;934 075,00;FR/EN;;
Pororoca;Fiction;Roumanie/France;708 354,00;FR/EN;;
The Square;Fiction;Suède/Allemagne/France;5 093 918,00;FR/EN;;
BÊTE DANS LE CŒUR (LA);Fiction;Italie/Grande Bretagne/Espagne/France;7 000 000,00;FR/EN;;
BRIGADES DU TIGRE (LES);Fiction;France/Italie;17 810 549,00;FR/EN;;
CITADELLE ASSIEGEE (LA);Documentaire;France/Canada;1 800 000,00;FR/EN;;
COMMENT J'AI FETE LA FIN DU MONDE;Fiction;Roumanie/France;1 603 008,00;FR/EN;;
CONSULTATION (LA);Documentaire;France/Belgique;513 444,00;FR/EN;;
DANSE DE L'ENCHANTERESSE (LA);Documentaire;France;410 381,00;FR/EN;;
DOO WOP;Fiction;France;295 668,00;FR/EN;;
FRAGMENTS D'ANTONIN (LES);Fiction;France;2 381 213,00;FR/EN;;
MARCHE DE L'EMPEREUR (LA);Documentaire;France;2 304 485,00;FR/EN;;
MOOLAADE;Fiction;Senegal/France;1 180 982,00;FR/EN;;
PLANÈTE BLANCHE (LA);Documentaire;France/Canada;3 626 761,00;FR/EN;;
TRUANDS;Fiction;France;3 997 348,00;FR/EN;;
UN TICKET POUR L'ESPACE;Fiction;France;10 921 492,00;FR/EN;;
UNE FOIS QUE TU ES NE;Fiction;Italie/Grande Bretagne/France;7 607 505,00;FR/EN;;
AH ! LA LIBIDO;Fiction;France;2 891 663,00;FR/EN;;
ALIKER;Fiction;France;2 539 402,00;FR/EN;;
BIENVENUE CHEZ LES CH'TIS;Fiction;France;10 949 037,00;FR/EN;;
ELDORADO;Fiction;Belgique/France;2 288 983,00;FR/EN;;
ENFANT DE KABOUL (L');Fiction;France;1 559 589,00;FR/EN;;
ENFIN VEUVE;Fiction;France;8 282 665,00;FR/EN;;
FEMME DE L'ANARCHISTE (LA);Fiction;Allemagne/Espagne/France;5 026 222,00;FR/EN;;
JE VIENS AVEC LA PLUIE;Fiction;France/Grande Bretagne/Espagne/Chine/Irlande;11 360 741,00;FR/EN;;
MODERN LOVE;Fiction;France/Canada;5 309 368,00;FR/EN;;
NOTRE UNIVERS IMPITOYABLE;Fiction;France;4 547 314,00;FR/EN;;
RIDEAU DE SUCRE (LE);Documentaire;France;228 150,00;FR/EN;;
SYNDROME DU TITANIC (LE);Documentaire;France;4 535 755,00;FR/EN;;
TROIS SINGES (LES);Fiction;Turquie/France/Italie;1 796 709,00;FR/EN;;
AMERICAN VERTIGO;Documentaire;France;1 198 010,00;FR/EN;;
APPELEZ MOI KUBRICK;Fiction;Grande Bretagne/France;8 203 011,00;FR/EN;;
BELHORIZON;Fiction;Belgique/France;2 245 994,00;FR/EN;;
C'EST PAS TOUT À FAIT LA VIE DONT J'AVAIS RÊVÉ;Fiction;France;1 738 285,00;FR/EN;;
CODE 68;Fiction;France;1 173 173,00;FR/EN;;
DALTON (LES);Fiction;France/Allemagne/Espagne;27 039 032,00;FR/EN;;
JOURNAL IV;Fiction;France;1 155 194,00;FR/EN;;
MAN TO MAN;Fiction;France/Grande Bretagne;21 748 367,00;FR/EN;;
SAINT JACQUES… LA MECQUE;Fiction;France;11 000 000,00;FR/EN;;
VA, VIS ET DEVIENT;Fiction;France/Belgique/Italie/Israel;5 327 287,00;FR/EN;;
VENUS & FLEUR;Fiction;France;337 638,00;FR/EN;;
CHAQUE JOUR EST UNE FÊTE;Fiction;France/Allemagne/Liban;1 519 948,00;FR/EN;;
DERNIER POUR LA ROUTE (LE);Fiction;France;7 861 975,00;FR/EN;;
ENFER DE HENRI-GEORGES CLOUZOT (L');Documentaire;France;1 030 948,00;FR/EN;;
LIGNES DE FRONT;Fiction;France;3 147 755,00;FR/EN;;
NUIT DE CHIEN;Fiction;France/Allemagne/Portugal;4 304 586,00;FR/EN;;
PREMIERES NEIGES;Fiction;Bosnie Herzegovine/Allemagne/France;1 103 846,00;FR/EN;;
SEL DE LA MER (LE);Fiction;France/Suisse/Belgique/Espagne;1 195 490,00;FR/EN;;
UNE VIE DE CHAT;Animation;France/Belgique;5 049 876,00;FR/EN;;
CEUX QUI RESTENT;Fiction;France;3 928 997,00;FR/EN;;
MADAME IRMA;Fiction;France;9 314 483,00;FR/EN;;
MAISON JAUNE (LA);Fiction;France;523 780,00;FR/EN;;
MANOLETE;Fiction;Espagne/Grande Bretagne/France/Etats Unis;14 367 806,00;FR/EN;;
MOLIÈRE;Fiction;France;16 000 000,00;FR/EN;;
STEAK;Fiction;France/Canada;6 046 122,00;FR/EN;;
VOLEURS DE CHEVAUX;Fiction;Belgique/France/Canada;2 964 234,00;FR/EN;;
AGENTS SECRETS;Fiction;France/Espagne/Italie;14 610 596,00;FR/EN;;
INGUELEZI;Fiction;France;1 747 471,00;FR/EN;;
MEME DIEU EST VENU NOUS VOIR;Fiction;Bulgarie/France;1 496 305,00;FR/EN;;
OMBRE DE LA VILLE (L');Fiction;Liban/France;906 206,50;FR/EN;;
QUAND JE SERAI STAR;Fiction;France;1 954 805,00;FR/EN;;
REVES DE FRANCE A MARSEILLE;Documentaire;France;330 655,00;FR/EN;;
Braqueurs;Fiction;France;7318256;FR/EN;;
Cézanne et moi;Fiction;France;11285042;FR/EN;;
Degrade;Fiction;Palestine/France;795000;FR/EN;;
Mort de Louis XIV (La);Fiction;France/Esp;697920;FR/EN;;
Paroles de salafistes;Docu;France;946672;FR/EN;;
Une histoire banale;Fiction;France;120988;FR/EN;;
Visiteurs 3 la révolution (Les);Fiction;France/Belgique;24754646;FR/EN;;
Voir du pays;Fiction;France/Grèce;3976869;FR/EN;;
BAL DES MENTEURS (LE);Documentaire;France;544 879,00;FR/EN;;
LAICITE, INCH'ALLAH !;Documentaire;France;227 504,00;FR/EN;;
MAFROUZA;Documentaire;France;626 096,00;FR/EN;;
MAGASIN DES SUICIDES (LE);Animation;France/Canada/Belgique;11 609 312,00;FR/EN;;
NOUS YORK;Fiction;France;10 900 722,00;FR/EN;;
STARS 80;Fiction;France;19 953 933,00;FR/EN;;
TORPEDO;Fiction;Belgique/France;3 154 028,00;FR/EN;;
Amnésie;Fiction;Suisse/France;2,08;FR/EN;;
Arrêtez-moi là;Fiction;France/Belgique;2,87;FR/EN;;
Fatima;Fiction;France/Canada;2,57;FR/EN;;
Homard (Le);Fiction;Irlande/Grande Bretagne/France/Grèce/Pays-bas;4,08;FR/EN;;
Macadam baby;Fiction;France;0,55;FR/EN;;
Maryland;Fiction;France;4,85;FR/EN;;
Si par hasard;Fiction;France;0,63;FR/EN;;
APPRENTI PERE NOEL, LE CALENDRIER MAGIQUE (L');Animation;France;4 649 310,00;FR/EN;;
CONNECTING SOUTH, LE NOUVEAU MONDE SELON GILBERTO GIL;Documentaire;Suisse/France;1 020 346,00;FR/EN;;
MAX LE MILLIONNAIRE;Fiction;France;6 657 815,00;FR/EN;;
OCEANE;Fiction;France;625 770,00;FR/EN;;
POURQUOI J'AI (PAS) MANGE MON PERE;Animation;France/Italie;31 797 563,00;FR/EN;;
SABABOU, L'ESPOIR;Documentaire;France;62 006,00;FR/EN;;
98;Fiction;France;1,87;FR/EN;;
Aimer, boire et chanter;Fiction;France;7,02;FR/EN;;
Belle comme la femme d'un autre;Fiction;France/Luxembourg/Belgique;5,67;FR/EN;;
Coming in;Fiction;France;5,44;FR/EN;;
Juliette;Fiction;France;4,54;FR/EN;;
Libres de courir;Docu;Suisse/France/Belgique;0,99;FR/EN;;
Saint Laurent;Fiction;France;8,77;FR/EN;;
Vincent;Fiction;France;1,92;FR/EN;;
COCHON DE GAZA (LE);Fiction;France/Allemagne/Belgique;4 240 674,00;FR/EN;;
EMPIRE DES RASTELLI (L');Fiction;Italie/France;5 486 783,00;FR/EN;;
FEMMES DU 6EME ETAGE (LES);Fiction;France;7 000 142,00;FR/EN;;
MOINE (LE);Fiction;France/Espagne;11 008 445,00;FR/EN;;
REQUIEM POUR UNE TUEUSE;Fiction;France;8 459 178,00;FR/EN;;
SECRET DES ENFANTS FOURMIS (LE);Fiction;France;2 563 773,00;FR/EN;;
TOUS LES SOLEILS;Fiction;France/Italie;7 836 755,00;FR/EN;;
BLACK DIAMOND;Documentaire;France/Belgique;1 912 932,00;FR/EN;;
NOTRE ETRANGERE;Fiction;France;1 402 868,00;FR/EN;;
NOUVEAUX CHIENS DE GARDE (LES);Documentaire;France;803 128,00;FR/EN;;
PERSECUTION;Fiction;France;4 728 275,00;FR/EN;;
REVEURS DE MARS (LES);Documentaire;Suisse/France;644 847,00;FR/EN;;
SENTIMENT DE LA CHAIR (LE);Fiction;France;1 734 261,00;FR/EN;;
AVOCAT (L');Fiction;France;5 006 945,00;FR/EN;;
CA COMMENCE PAR LA FIN;Fiction;France;2 100 232,00;FR/EN;;
CLEVELAND CONTRE WALL STREET;Documentaire;Suisse/France;1 300 000,00;FR/EN;;
KATANGA BUSINESS;Documentaire;Belgique/France;1 263 100,00;FR/EN;;
LADY BLOOD;Fiction;France;1 994 728,00;FR/EN;;
MAINS EN L'AIR (LES);Fiction;France;2 267 892,00;FR/EN;;
REVE ITALIEN (LE);Fiction;Italie/France;8 171 239,00;FR/EN;;
TRAQUE (LA);Fiction;France;2 619 494,00;FR/EN;;
AGE D'HOMME (L');Fiction;France;3 881 381,00;FR/EN;;
AVANT QUE J'OUBLIE;Fiction;France;1 126 871,00;FR/EN;;
AVOCAT DE LA TERREUR (L');Documentaire;France;1 360 065,00;FR/EN;;
FAUT QUE CA DANSE !;Fiction;France/Suisse;5 331 758,00;FR/EN;;
PARIS JE T'AIME;Fiction;France;11 375 610,00;FR/EN;;
RIPARO;Fiction;Italie/France;1 393 694,00;FR/EN;;
AIGUILLES ROUGES (LES);Fiction;France;5 493 970,00;FR/EN;;
AMITIÉS MALÉFIQUES (LES);Fiction;France;2 270 199,00;FR/EN;;
ARISTOS (LES);Fiction;France;7 594 911,00;FR/EN;;
ECORCHES;Fiction;France;1 699 720,00;FR/EN;;
LADY CHATTERLEY;Fiction;France/Grande Bretagne/Belgique;2 326 805,00;FR/EN;;
24 MESURES;Fiction;France/Canada;2 518 375,00;FR/EN;;
EUROPOLIS;Fiction;Roumanie/France;1 050 000,00;FR/EN;;
FAUBOURG 36;Fiction;France/Allemagne/Republique Tcheque;28 000 000,00;FR/EN;;
SERAPHINE;Fiction;France/Belgique;3 989 215,00;FR/EN;;
Beaux menteurs (Les);Fiction;France;55 124,00;FR/EN;;
Blanche comme neige;Fiction;France;7 314 771,00;FR/EN;;
Choc du futur (Le);Fiction;France;326 400,00;FR/EN;;
Dernier bain (Le);Fiction;Portugal/France;850 899,00;FR/EN;;
Dernière vie de Simon (La);Fiction;France;2 423 797,00;FR/EN;;
Drapeaux de papier (Les);Fiction;France;935 305,00;FR/EN;;
Enfant roi (L');Fiction;France;2 599 748,00;FR/EN;;
Lutte des classes (La);Fiction;France;3 602 442,00;FR/EN;;
Nekfeu - the documentary;Docu;France;1 047 000,00;FR/EN;;
Prince oublié (Le);Fiction;France;24 889 447,00;FR/EN;;
Bergère;Docu;France;97 521,00;FR/EN;;
Epicentro;Docu;Autriche/France;1 081 703,00;FR/EN;;
Errementari;Fiction;Espagne/France;2 125 000,00;FR/EN;;
Facteur cheval;Fiction;France;5 028 592,00;FR/EN;;
Héritage (L');Docu;France;78 589,00;FR/EN;;
Jessica forever;Fiction;France;2 836 108,00;FR/EN;;
Marie Curie;Fiction;Allemagne/France/Pologne;3 702 248,00;FR/EN;;
Moissonneurs (Les);Fiction;France/Af. Du Sud/Pologne/Grèce;1 110 529,00;FR/EN;;
Nouvelles aventures de Cendrillon (Les);Fiction;France;11 126 524,00;FR/EN;;
Revenge;Fiction;France;2 845 056,00;FR/EN;;
Scelsi le premier mouvement de l'immobile;Docu;France/Belgique/Italie;699 470,00;FR/EN;;
Taxi 5;Fiction;France;20 393 932,00;FR/EN;;
As de la jungle (Les) - le film;Anim;France;5 317 606,00;FR/EN;;
Au revoir là-haut;Fiction;France;19 746 327,00;FR/EN;;
Ciel attendra (Le);Fiction;France;3 945 000,00;FR/EN;;
Dalida;Fiction;France;15 743 270,00;FR/EN;;
Dérive d'un été;Docu;France;182 503,00;FR/EN;;
Madame Hyde;Fiction;France;4 637 933,00;FR/EN;;
Ms. Sloane;Fiction;France;18 363 234,00;FR/EN;;
Petit Spirou (Le);Fiction;France/Belgique;7 996 406,00;FR/EN;;
Sociologue et l'ourson (La);Docu;France;282 258,00;FR/EN;;
Sous le même toit;Fiction;France;9 552 512,00;FR/EN;;
ATTENTION DANGER TRAVAIL;Documentaire;France;230 289,00;FR/EN;;
AVANT L'OUBLI;Fiction;France/Grande Bretagne/Espagne/Belgique;3 048 980,00;FR/EN;;
JARDIN DE PAPA (LE);Fiction;France;506 789,00;FR/EN;;
LILA DIT CA;Fiction;France/Grande Bretagne/Italie;3 047 703,00;FR/EN;;
MASSAI LES GUERRIERS DE LA PLUIE;Fiction;France;4 500 654,00;FR/EN;;
POIDS LEGER;Fiction;France;2 884 972,00;FR/EN;;
POUR L'AMOUR DU PEUPLE;Documentaire;Allemagne/France;960 758,00;FR/EN;;
SAIGNANTES (LES);Fiction;France/Cameroun;911 845,00;FR/EN;;
DEMAIN DES L'AUBE;Fiction;France;5 279 973,00;FR/EN;;
ENVOYES TRES SPECIAUX;Fiction;France;12 805 956,00;FR/EN;;
GAMINES;Fiction;France;2 623 386,00;FR/EN;;
LINO;Fiction;France;285 981,00;FR/EN;;
NE ME LIBÉREZ PAS JE M'EN CHARGE;Documentaire;France;351 707,00;FR/EN;;
ROSE ET NOIR;Fiction;France/Espagne;15 627 792,00;FR/EN;;
VINCERE;Fiction;Italie/France;8 251 434,00;FR/EN;;
BOUDU;Fiction;France;11 451 567,00;FR/EN;;
ETATS-UNIS D'ALBERT (LES);Fiction;Canada/France/Suisse;2 903 753,00;FR/EN;;
PRENDRE FEMME;Fiction;Israel/France;658 500,00;FR/EN;;
ROMANZO CRIMINALE;Fiction;Italie/Grande Bretagne/France;8 528 003,00;FR/EN;;
VIE EST A NOUS (LA);Fiction;France;5 326 196,00;FR/EN;;
VIOLENT DAYS;Fiction;France;668 324,00;FR/EN;;
Chevaliers blancs (Les);Fiction;Belgique/France;9;FR/EN;;
Dom;Fiction;France;1,59;FR/EN;;
En équilibre;Fiction;France;7,61;FR/EN;;
Grand Jour (Le);Docu;France;2,88;FR/EN;;
House of time;Fiction;France;1,1;FR/EN;;
Louder than bombs;Fiction;Norvège/France/Danemark;8,14;FR/EN;;
Margherita;Fiction;Italie/France;7,99;FR/EN;;
Melody;Fiction;Belgique/Luxembourg/France;2,98;FR/EN;;
Monde de Fred (Le);Fiction;France;0,14;FR/EN;;
Nous trois ou rien;Fiction;France;7,72;FR/EN;;
Place aux jeunes;Docu;France;0,35;FR/EN;;
Un illustre inconnu;Fiction;France/Belgique;12,74;FR/EN;;
Un nouveau souffle;Fiction;France;0,8;FR/EN;;
Véritable Histoire des petits rats de l'Opéra (La);Anim;Canada/France;26,9;FR/EN;;
Asphalte;Fiction;France;1803512;FR/EN;;
Avec les loups;Docu;France;750000;FR/EN;;
Bricks;Docu;France;345279;FR/EN;;
Clair-obscur;Fiction;Turquie/Allemagne/France;1290267;FR/EN;;
Danseuse (La);Fiction;France/Belgique/Rep Tchèque;7888600;FR/EN;;
Et les mistrals gagnants…;Docu;France;675961;FR/EN;;
Fille de Brest (La);Fiction;France;5595611;FR/EN;;
Franz;Fiction;France/Allemagne;9474971;FR/EN;;
Grand Partage (Le);Fiction;France;10695514;FR/EN;;
Irréprochable;Fiction;France;2160150;FR/EN;;
Louis-Ferdinand Céline, le monstrueux géant;Fiction;France/Belgique;3293057;FR/EN;;
Mon nom à Pigalle;Fiction;France;2299857;FR/EN;;
Vin (Le);Fiction;France;7866939;FR/EN;;
Voyage à Kullorsuaq (Le);Fiction;France;1192341;FR/EN;;
7 JOURS À LA HAVANE;Fiction;Espagne/France;3 000 168,00;FR/EN;;
AFTER;Fiction;France;2 218 000,00;FR/EN;;
AGON;Fiction;Albanie/Grece/Roumanie/France;927 600,00;FR/EN;;
AUJOURD'HUI;Fiction;France/Senegal;1 572 487,00;FR/EN;;
BLANCANIEVES;Fiction;Espagne/France;5 001 480,00;FR/EN;;
DELICATESSE (LA);Fiction;France;6 870 776,00;FR/EN;;
EMILIE JOLIE;Animation;France;3 917 988,00;FR/EN;;
EYES FIND EYES;Fiction;France;186 701,00;FR/EN;;
MAINS ARMÉES;Fiction;France;8 319 394,00;FR/EN;;
PINOCCHIO;Animation;Italie/Luxembourg/Belgique/France;7 378 162,00;FR/EN;;
TOUR DE GUET (LA);Fiction;Turquie/France/Allemagne;941 685,00;FR/EN;;
3 coeurs;Fiction;France/Allemagne/Belgique;7,14;FR/EN;;
Ames de papier (Les);Fiction;Belgique/Luxembourg/France;3,6;FR/EN;;
Babysitting;Fiction;France;3,48;FR/EN;;
Barbecue;Fiction;France;9,7;FR/EN;;
Deux femmes;Fiction;Russie/Lettonie/France;1,83;FR/EN;;
El Nino;Fiction;Espagne/France;7,15;FR/EN;;
Fiston;Fiction;France;7,47;FR/EN;;
Quête du loup sauvage (La);Docu;France;0,55;FR/EN;;
Vénus à la fourrure (La);Fiction;France/Pologne;7,85;FR/EN;;
Wolf totem;Fiction;Chine/France;23,43;FR/EN;;
11,6;Fiction;France;9 519 878,00;FR/EN;;
ANDRE ROBILLARD, EN CHEMIN;Documentaire;France;444 252,00;FR/EN;;
AU-DELA DES COLLINES;Fiction;Roumanie/France/Belgique;2 972 876,00;FR/EN;;
MON PÈRE VA ME TUER;Fiction;Italie/France;1 999 639,00;FR/EN;;
MOSKOVITCH, MON AMOUR;Fiction;France/Armenie/Russie;304 563,00;FR/EN;;
POST PARTUM;Fiction;Belgique/Luxembourg/France;2 860 000,00;FR/EN;;
QU'ILS REPOSENT EN REVOLTE (DES FIGURES DE GUERRE I);Documentaire;France;82 960,00;FR/EN;;
TAHRIR, PLACE DE LA LIBERATION;Documentaire;France;107 803,00;FR/EN;;
11 FLEURS;Fiction;Chine/France;1 600 000,00;FR/EN;;
A BOUT PORTANT;Fiction;France;10 797 086,00;FR/EN;;
DERNIERS JOURS A JERUSALEM;Fiction;Israel/France;841 313,00;FR/EN;;
MINEURS 27;Fiction;France;3 021 634,00;FR/EN;;
MONDE EN CHANTIER;Documentaire;France/Pologne;802 960,00;FR/EN;;
OU VA LA NUIT ?;Fiction;France/Belgique;4 502 985,00;FR/EN;;
TROIS MOUSQUETAIRES (LES);Fiction;Allemagne/France/Grande Bretagne;58 477 176,00;FR/EN;;
UN ETE BRULANT;Fiction;France/Italie/Suisse;3 100 000,00;FR/EN;;
UNE FOLLE ENVIE;Fiction;France;5 370 373,00;FR/EN;;
Bois (Le);Docu;France;588 759,00;FR/EN;;
Cahier noir (Le);Fiction;Portugal/France;1 562 027,00;FR/EN;;
C'est la vie;Fiction;France;5 995 347,00;FR/EN;;
Chant du rossignol (Le);Fiction;Tunisie/France;618 513,00;FR/EN;;
Cordillère des songes (La);Docu;France;1 193 231,00;FR/EN;;
Lukas (ex The bouncer);Fiction;France/Belgique;7 506 409,00;FR/EN;;
Municipaux (trop c'est trop) (Les);Fiction;France;6 791 977,00;FR/EN;;
Portrait de la jeune fille en feu;Fiction;France;4 862 654,00;FR/EN;;
Prison (La);Docu;France;482 637,00;FR/EN;;
Quand on crie au loup;Fiction;France;3 601 710,00;FR/EN;;
Quand tu danses;Fiction;France;5 668 235,00;FR/EN;;
Tamara Vol.2;Fiction;France/Belgique;6 587 362,00;FR/EN;;
Un fils;Fiction;Tunisie/France;885 779,00;FR/EN;;
Vérité (…) (La);Fiction;France;6 911 841,00;FR/EN;;
A l'abordage;Docu;France;392 943,00;FR/EN;;
Achille, Hector, Héraclès... furent des adolescents comme les autres;Docu;France;130 525,00;FR/EN;;
Barbara;Fiction;France;4 933 303,00;FR/EN;;
Dany;Fiction;France/Belgique;6 492 440,00;FR/EN;;
En attendant les hirondelles;Fiction;France/Allemagne/Algérie;1 546 487,00;FR/EN;;
Holy Lands;Fiction;France;6 340 696,00;FR/EN;;
Inès et Pedro;Fiction;Portugal/France;882 000,00;FR/EN;;
Intruse (L');Fiction;Italie/France/Suisse;2 042 019,00;FR/EN;;
Love Addict;Fiction;France;9 105 598,00;FR/EN;;
Mes provinciales;Fiction;France;720 000,00;FR/EN;;
Mission Pays Basque (ex : Espadrilles);Fiction;France;2 730 561,00;FR/EN;;
Nuit a dévoré le monde (La);Fiction;France;2 989 241,00;FR/EN;;
The devil outside;Fiction;Grande Bretagne/France;1 941 248,00;FR/EN;;
Tout le monde debout;Fiction;France;10 023 312,00;FR/EN;;
Un amour impossible;Fiction;France;7 517 512,00;FR/EN;;
Un autre monde;Fiction;France;4 185 165,00;FR/EN;;
Un profil pour deux (ex #Flora 63);Fiction;Allemagne/France/Belgique;4 450 655,00;FR/EN;;
Carnivores (Les);Fiction;France/Belgique;3 993 109,00;FR/EN;;
Gueule du loup (La);Docu;France;316 052,00;FR/EN;;
Mécanique de l'ombre (La);Fiction;France/Belgique;5 148 833,00;FR/EN;;
Passade;Fiction;France;653 461,00;FR/EN;;
Secret de Hiroshi Amano (Le);Fiction;France/Cambodge;1 220 002,00;FR/EN;;
10EME CHAMBRE, INSTANTS D'AUDIENCE;Documentaire;France;1 376 033,00;FR/EN;;
COMME UNE IMAGE;Fiction;France/Italie;11 733 667,00;FR/EN;;
DOUBLE ZERO;Fiction;France/Grande Bretagne;19 823 203,00;FR/EN;;
NATHALIE;Fiction;France/Espagne;7 345 375,00;FR/EN;;
PASSIONS;Documentaire;France;591 100,00;FR/EN;;
QUAND LA MER MONTE;Fiction;France/Belgique;1 525 000,00;FR/EN;;
RIVIERES POURPRES 2 (LES);Fiction;France/Italie/Grande Bretagne;20 970 000,00;FR/EN;;
TERRE ET CENDRES;Fiction;France;3 216 290,00;FR/EN;;
VIPERE AU POING;Fiction;France/Grande Bretagne;7 001 221,00;FR/EN;;
A CŒUR OUVERT;Fiction;France;3 991 167,00;FR/EN;;
AU CAS OÙ JE N'AURAIS PAS LA PALME D'OR;Fiction;France;179 418,00;FR/EN;;
AUX YEUX DE TOUS;Fiction;France;1 480 060,00;FR/EN;;
BONSAI;Fiction;Chili/France;443 440,00;FR/EN;;
COMME UN HOMME;Fiction;France/Luxembourg/Belgique;5 458 710,00;FR/EN;;
